Department,Semester,Course Code,Course Name,L,T,P,S,C,Faculty,Schedule
ECE,2,B3-NEW,Industry Insights Program Part 1,0,0,1,0,0,Mr.Ram Subramanian & Mr. Sasi Kumar Sundara Rajan,
ECE,2,B3-NEW,Principles of Quantum Physics,0,0,2,0,0,Dr. Aswath Babu & Pof. Ravi Shankar,
ECE,2,B4-NEW,Linux for Engineers,0,0,2,0,0,Dr. Shirshendu L,
ECE,2,B4-NEW,Photography101,0,0,1,0,0,Dr Prabhu Prasad BM,
ECE,2,B4-NEW,Introduction to Holistic Personality Development,0,0,1,0,0,Prof.Chachadi and Dr.Chandrika,
ECE,2,B4-NEW,Visual Design – Principles and Application in Product Communication        ,0,0,2,0,0,Dr. Sandesh P,
ECE,2,B1-NEW,Introduction to Internet of Things,0,0,2,0,0,Dr Jagadeesha Bhat,
ECE,2,B1-ASD151,Introduction to Design,0,0,1,0,0,Dr. Sandesh P,
ECE,2,B1-HS151,Introduction to Personal Finance,0,0,2,0,0,Dr. Siddharth,
ECE,2,B1-NEW,Concurrency and Computation,0,0,2,0,0,Dr Pramod Y,
ECE,2,B2-NEW,Computer Intensive Statistical Methods,0,0,2,0,0,Dr Ramesh Athe,Yes
ECE,4,MA208,Probability and Random Processes,3,1,0,0,4,Dr. Rajib Sharma/ Rajesh Kumar ,Yes
ECE,4,EC205,Control Systems,3,0,2,0,4,Dr. Pankaj Kumar,Yes
ECE,4,EC310,Embedded Systems Design,3,1,0,0,4,Dr. Prakash Pawar,Yes
ECE,4,EC204,Analog and Digital Communication,3,1,2,0,5,Dr. Somen Bhattacharjee / Dr. Jagadish D N (Lab),Yes
ECE,4,HS204,Economics,3,1,0,0,4,Dr. Anushree Kini,Yes
ECE,4,HS205,Ethics,3,0,0,0,3,Dr. Jolly Thomas IIT Dharwad,Yes
ECE,6,CS307,Wireless Communication,3,0,0,4,4,Dr. Rajib Sharma/ Dr. Rao (Lab),Yes
ECE,6,B1-CS464,Deep Learning for Computer Vision ,3,1,0,0,4,Dr. Chinmayanand,Yes
ECE,6,B1-NEW,Large Languange Models,3,0,0,4,4,Dr. Sunil S,
ECE,6,B1-CS458,Natural Language Processing,3,1,0,0,4,Dr. Krishnendu,
ECE,6,B1,CMOS RF Circuit Design,,,,,,Dr. Rajesh Kumar,
ECE,6,B1-NEW,Deep Speech Processing,3,1,0,0,4,Prof. SRM Prasanna,
ECE,6,B2-CS455,Blockchain Technology,3,0,0,4,4,Dr. Rajendra H,
ECE,6,B2-EC361,Introduction to 5G Network,3,1,0,0,4,Dr. Jagadeesha R Bhat,
ECE,6,B2,Model Checking,3,0,0,4,4,Dr. Pavan,
ECE,6,B2,Quantum Communication,3,0,0,0,3,Dr. Aswath B,
ECE,6,B2,Quantum HPC and AI,1,0,0,0,1,Dr. Manish M (Dr. Aswath),
ECE,6,B2-NEW,Design Thinking and Innovation,3,1,0,0,4,Dr. Sandesh P,
ECE,6,B3,Computer Graphics,3,1,0,0,4,Dr. Vivekraj V K,
ECE,6,B3-CS307,Machine Learning,3,1,0,0,4,Dr. Deepak K T,
ECE,6,B3,Virtualization & Cloud Computing,,,,,,Dr. Malay,
ECE,6,B4,Data Analytics & Visualization,3,1,0,0,4,Dr. Sunil C K ,
ECE,6, B4-DS351,Statistics for Health Technology,3,1,0,0,4,Dr. Ramesh Athe,
ECE,6,B4,Medical Image Analysis,2,0,2,4,4,Dr. Girish G N,
ECE,6,B4-CS472,Bioinformatics,,,,,,Dr. Sunil Kumar PV,
ECE,6,B3,Automotive Embedded and Multimedia Systems/Microwave Engineering/Computer Graphics/Machine learning/Virtualization and Cloud Computing,3,1,0,0,4,Mr. Jagadeesh K (Dr Sibasankar Padhy)/Dr. Somen/Dr. Vivekraj V K/Dr. Deepak KT/Dr Malay,Yes
ECE,6,Mini Project 1,Mini Project 1,0,0,0,8,2,Dr. Pankaj Kumar,Yes
ECE,8,EC499,Major Project,0,0,0,32,8,Dr. Rajesh Kumar,Yes
